State	State Code	ZCTA	Congressional District Number	CD	2016 House Margin
CA	6	92003	49	CA49	0.6
CA	6	92007	49	CA49	0.6
CA	6	92008	49	CA49	0.6
CA	6	92009	49	CA49	0.6
CA	6	92010	49	CA49	0.6
CA	6	92011	49	CA49	0.6
CA	6	92014	49	CA49	0.6
CA	6	92024	49	CA49	0.6
CA	6	92028	49	CA49	0.6
CA	6	92029	49	CA49	0.6
CA	6	92037	49	CA49	0.6
CA	6	92054	49	CA49	0.6
CA	6	92055	49	CA49	0.6
CA	6	92056	49	CA49	0.6
CA	6	92057	49	CA49	0.6
CA	6	92058	49	CA49	0.6
CA	6	92067	49	CA49	0.6
CA	6	92075	49	CA49	0.6
CA	6	92078	49	CA49	0.6
CA	6	92081	49	CA49	0.6
CA	6	92083	49	CA49	0.6
CA	6	92084	49	CA49	0.6
CA	6	92091	49	CA49	0.6
CA	6	92121	49	CA49	0.6
CA	6	92127	49	CA49	0.6
CA	6	92130	49	CA49	0.6
CA	6	92624	49	CA49	0.6
CA	6	92629	49	CA49	0.6
CA	6	92651	49	CA49	0.6
CA	6	92672	49	CA49	0.6
CA	6	92673	49	CA49	0.6
CA	6	92675	49	CA49	0.6
CA	6	92677	49	CA49	0.6
CA	6	92679	49	CA49	0.6
CA	6	92688	49	CA49	0.6
CA	6	92691	49	CA49	0.6
CA	6	92692	49	CA49	0.6
CA	6	92694	49	CA49	0.6
MN	27	55006	8	MN8	0.6
MN	27	55007	8	MN8	0.6
MN	27	55008	8	MN8	0.6
MN	27	55012	8	MN8	0.6
MN	27	55013	8	MN8	0.6
MN	27	55017	8	MN8	0.6
MN	27	55025	8	MN8	0.6
MN	27	55029	8	MN8	0.6
MN	27	55030	8	MN8	0.6
MN	27	55032	8	MN8	0.6
MN	27	55036	8	MN8	0.6
MN	27	55037	8	MN8	0.6
MN	27	55040	8	MN8	0.6
MN	27	55045	8	MN8	0.6
MN	27	55051	8	MN8	0.6
MN	27	55056	8	MN8	0.6
MN	27	55063	8	MN8	0.6
MN	27	55069	8	MN8	0.6
MN	27	55070	8	MN8	0.6
MN	27	55072	8	MN8	0.6
MN	27	55073	8	MN8	0.6
MN	27	55074	8	MN8	0.6
MN	27	55079	8	MN8	0.6
MN	27	55080	8	MN8	0.6
MN	27	55084	8	MN8	0.6
MN	27	55092	8	MN8	0.6
MN	27	55371	8	MN8	0.6
MN	27	55398	8	MN8	0.6
MN	27	55601	8	MN8	0.6
MN	27	55602	8	MN8	0.6
MN	27	55603	8	MN8	0.6
MN	27	55604	8	MN8	0.6
MN	27	55605	8	MN8	0.6
MN	27	55606	8	MN8	0.6
MN	27	55607	8	MN8	0.6
MN	27	55609	8	MN8	0.6
MN	27	55612	8	MN8	0.6
MN	27	55613	8	MN8	0.6
MN	27	55614	8	MN8	0.6
MN	27	55615	8	MN8	0.6
MN	27	55616	8	MN8	0.6
MN	27	55702	8	MN8	0.6
MN	27	55703	8	MN8	0.6
MN	27	55704	8	MN8	0.6
MN	27	55705	8	MN8	0.6
MN	27	55706	8	MN8	0.6
MN	27	55707	8	MN8	0.6
MN	27	55708	8	MN8	0.6
MN	27	55709	8	MN8	0.6
MN	27	55710	8	MN8	0.6
MN	27	55711	8	MN8	0.6
MN	27	55712	8	MN8	0.6
MN	27	55713	8	MN8	0.6
MN	27	55716	8	MN8	0.6
MN	27	55717	8	MN8	0.6
MN	27	55718	8	MN8	0.6
MN	27	55719	8	MN8	0.6
MN	27	55720	8	MN8	0.6
MN	27	55721	8	MN8	0.6
MN	27	55722	8	MN8	0.6
MN	27	55723	8	MN8	0.6
MN	27	55724	8	MN8	0.6
MN	27	55725	8	MN8	0.6
MN	27	55726	8	MN8	0.6
MN	27	55731	8	MN8	0.6
MN	27	55732	8	MN8	0.6
MN	27	55733	8	MN8	0.6
MN	27	55734	8	MN8	0.6
MN	27	55735	8	MN8	0.6
MN	27	55736	8	MN8	0.6
MN	27	55738	8	MN8	0.6
MN	27	55741	8	MN8	0.6
MN	27	55742	8	MN8	0.6
MN	27	55744	8	MN8	0.6
MN	27	55746	8	MN8	0.6
MN	27	55748	8	MN8	0.6
MN	27	55749	8	MN8	0.6
MN	27	55750	8	MN8	0.6
MN	27	55751	8	MN8	0.6
MN	27	55752	8	MN8	0.6
MN	27	55753	8	MN8	0.6
MN	27	55756	8	MN8	0.6
MN	27	55757	8	MN8	0.6
MN	27	55758	8	MN8	0.6
MN	27	55760	8	MN8	0.6
MN	27	55763	8	MN8	0.6
MN	27	55764	8	MN8	0.6
MN	27	55765	8	MN8	0.6
MN	27	55766	8	MN8	0.6
MN	27	55767	8	MN8	0.6
MN	27	55768	8	MN8	0.6
MN	27	55769	8	MN8	0.6
MN	27	55771	8	MN8	0.6
MN	27	55772	8	MN8	0.6
MN	27	55775	8	MN8	0.6
MN	27	55779	8	MN8	0.6
MN	27	55780	8	MN8	0.6
MN	27	55781	8	MN8	0.6
MN	27	55782	8	MN8	0.6
MN	27	55783	8	MN8	0.6
MN	27	55784	8	MN8	0.6
MN	27	55785	8	MN8	0.6
MN	27	55786	8	MN8	0.6
MN	27	55787	8	MN8	0.6
MN	27	55790	8	MN8	0.6
MN	27	55792	8	MN8	0.6
MN	27	55793	8	MN8	0.6
MN	27	55795	8	MN8	0.6
MN	27	55797	8	MN8	0.6
MN	27	55798	8	MN8	0.6
MN	27	55802	8	MN8	0.6
MN	27	55803	8	MN8	0.6
MN	27	55804	8	MN8	0.6
MN	27	55805	8	MN8	0.6
MN	27	55806	8	MN8	0.6
MN	27	55807	8	MN8	0.6
MN	27	55808	8	MN8	0.6
MN	27	55810	8	MN8	0.6
MN	27	55811	8	MN8	0.6
MN	27	55812	8	MN8	0.6
